movie_id,director_id
750,17834
752,18170
753,36685
754,1238
756,38359
759,32671
760,9263
762,8630
763,32421
764,16791
765,3561
766,3673
767,21854
768,12589
769,19171
771,25439
772,19708
775,18771
777,21527
778,13126
779,34147
780,37018
781,5208
710,9258
783,36977
784,846
587,21854
785,18024
786,2465
788,19085
790,1926
791,23276
792,17765
793,12909
794,6537
795,34742
796,8630
797,16677
282,28540
798,20515
799,17725
800,15951
801,31759
802,3874
803,8657
804,34983
806,2397
807,5208
808,25114
811,31448
812,19010
813,12589
814,32170
815,20238
818,35061
819,19576
821,34783
822,24085
823,2749
824,10288
825,33931
826,6381
828,32851
829,37018
830,36034
831,5719
833,24924
834,15579
836,28947
837,13867
838,17283
839,15215
841,24727
842,24708
843,35481
846,11268
847,31091
848,2444
849,18170
853,7883
854,28921
855,26957
446,25139
856,13313
857,4605
858,10392
859,32168
860,26432
861,25545
862,24502
863,27281
864,18475
865,16796
866,38412
867,29433
868,19708
869,31646
870,18931
873,31434
874,34760
875,17660
877,32207
882,28562
883,25139
312,19227
884,4578
885,23389
886,22871
887,4900
888,12315
889,25245
890,11268
891,24924
892,24996
894,28637
895,30987
896,2749
897,13130
899,13643
900,28178
901,17928
902,18475
903,31502
904,26882
590,38838
906,35793
907,23869
908,3561
909,4834
911,403
217,18595
912,27564
805,17631
914,25139
638,28712
915,37197
916,33449
917,20734
918,35968
919,9718
920,27358
921,27481
923,8433
926,9733
927,29242
928,28712
931,19701
932,12601
935,12259
936,8961
937,8360
939,9152
940,1238
941,29250
942,31759
943,38704
944,20675
947,30316
949,4834
692,34725
951,17958
952,28360
953,5744
954,27319
955,21810
956,26957
957,33808
961,37549
962,31434
963,25444
964,2522
967,21253
968,21138
969,8767
970,2634
971,18170
973,15104
974,20717
976,27427
977,38259
291,16666
978,27006
979,38953
981,24502
982,35481
983,37018
984,9746
985,29213
986,36753
988,38763
989,30208
606,36457
742,31759
991,9585
992,24290
993,30542
994,22608
208,23970
996,27481
997,2081
998,4834
999,4578
1000,15104
1001,30208
1003,25789
1004,24085
1005,9242
855,13415
1006,33224
1007,36640
1009,33529
1010,30316
1012,35826
1013,35062
1015,38226
1017,37919
1018,18013
1019,29433
1020,34056
1022,16796
1023,32079
1024,4365
1025,22071
1026,18426
1027,38535
1028,4503
1029,28947
102,11650
1030,28360
1031,36890
371,33210
1032,39233
1033,24085
1035,14049
1036,35481
1037,13498
1038,1492
1039,25966
1040,692
1042,21696
1043,7533
1044,17400
1045,5352
1047,24502
1049,38367
1051,8960
1052,16461
1053,10903
1054,2749
1055,7533
1056,38359
1059,29048
1060,16383
1061,22071
1063,10787
1064,8829
1065,1464
1066,37018
1067,30628
1068,27830
1069,6862
1070,21854
1073,18931
1074,35114
1076,28709
1078,8761
1080,31699
1081,32079
1082,35048
833,10459
1085,23970
1086,33671
1087,27128
1088,37018
1089,6495
1091,19021
430,18305
1093,25944
1094,16264
1095,10770
1096,31061
1097,36890
1098,31058
1099,28360
1100,38535
1102,20533
1103,2749
1104,31448
1105,23994
1107,31434
1108,25439
1109,30987
1111,29807
1113,21785
1114,20675
1116,34193
1117,11390
1119,31727
1120,13498
1121,17144
1123,23116
1124,18024
1125,5492
1126,30758
1129,24085
387,23469
1130,36015
1131,31859
1132,742
1133,13511
1134,17644
1135,30542
1136,25979
1137,29222
1138,8968
1139,31434
1140,16461
